"rating","title","text","publishedDate"
"5","Pleasantly supervised.....","Being a Air France (hop) flight, we did not expect much, however when we checked in, the staff member moved us from row 2 to row 1 which gave significantly more leg room, the attendant was friendly, the food was well presented, however, not really our thing, the lounge breakfast was far superior and we had our fill, champagne was cracked to go with the salmon, which we enjoyed.
We were very lucky to have a superb pilot. There were extreme cross winds on approach to Dublin, he took us down smoothly, many flights were cancelled or diverted as the day went on.
We will definitely fly with these guys again.","2024-11-07"
"1","Avoid AirFrance at all costs.","AirFrance is without doubt the worst airline I have ever flown with. Their customer service team is abysmal. My partner and I flew to Dubai from Paris on the 25th of October 2024, our flight arrive about 3 hours behind schedule and upon arriving at Dubai airport our checked in luggage was nowhere to be seen. I understand baggage goes missing but the baggage did not arrive in Dubai for 72 hours. 

My partner and I were without necessities such as prescribed medication, clothes, and hygiene products for 72 hours. I have since tried to claim expenses for these necessities which equated to roughly €200-€300 but AirFrance will not process anything without receipts. I have sent the airline screenshots of the purchase orders online and tags of the clothes but our receipts were disposed of in the hotel mistakenly and AirFrance will not acknowledge this. What a farce!

And to top it all off, without the bag for 72 hours in an expensive city like Dubai low and behold the bag arrives with a gaping hole in the side of it. I don't even know how someone would be able to damage a bag like this. It is a hardcase Swissport luggage suitcase. I have been in contact with AirFrance claim for about 7 days now to resolve this and once again, they will not do anything as we have 'no receipts' - How am I supposed to have receipts for a bag that was purchased more than a year ago and has nothing got to do with the damage caused. 

Their customer service team are the most unhelpful group of individuals I have ever dealt with. I would strongly encourage anyone who is contemplating flying with AirFrance to think again in the future. I have taken a serious financial burden from their mishaps and they are doing nothing about it.

Avoid AirFrance!","2024-11-05"
"5","One of the best airlines in the world","Pros:
1. Food quality (the food was brilliant)
2. Comfort (there was ample room despite being economy class)
3. Service (great service offered)
4. Value (makes sense when the rest are so good)","2024-11-03"
"2","Legroom and seats are as small as Spirit or United","The legroom is awful. It is as small as United. The seats are tiny, similar to Spirit or another budget airline. The food was okay, as we only recieved a snack for a seven hour flight.  The flight attendants were very nice. On the return trip, they left a snack bar open during the flight. If you can avoid this airline for a long flight, I would.","2024-11-03"
"2","OVER RATED AIRLINE & DISRESPECTFUL STAFF TO NON FRENCH PASSENGERS","OVER RATED AIRLINE- 2/5
As a Million Mile Plus flyer, having traveled to most continents and 50 countries, I find Air France to be BELOW AVERAGE, Mainly because of the way their staff talk down to, about and speak disrespectfully about NON FRENCH passengers.

My Asian wife is Fluent in 5 languages and I am fluent in 3 languages, and both heard staff not only speak disrespectfully and derogatory about me, but many other passengers,  mostly American citizens.

Dress Down
I always dress down for flight, which my wife dislikes, usually fly in Business, not available for this flight. I am a Multimillion who owns 14 rental complexes on the East Coast of the U.S, but don't look like it by the way I dress.

Staff 2/5
At the counter and on the plane, their arrogance, talking down to and about us, when they think we DON'T understand French

RDU to CDG Flight 
Staff
Again,  talking in French about passengers in a negative mocking manner, when they don't think you understand, ESPECIALLY if you are American

Landing(Pilot)
ROUGH & HARD, maybe time to go back to the training simulator.

OVERALL 2/5
Despite being a code share with Delta, I would NOT fly  Air France again !","2024-11-02"
"1","Disgusted","Staff are incredibly rude.  Had a French staff person call me out of line insisting my carry on bag was too large and absolutely had to be checked at the gate; it was not.  They proceeded to walk away then threatened to change my flight while I was trying to understand what the issue was.  I expressed concerns of checking the bag as it contained medically necessary equipment that I could not risk losing on an extended overseas trip.  They continued to threaten to switch my flight.  They also insisted I switched the bag expressing, "" that's not the bag! You switched it!"".   I ended up having to get an additional bag, barely any smaller, to put my medical equipment in so they could check my original bag.  Obviously, this just meant more space was taken up on the aircraft which made no sense. While navigating this unfortunate experience, I took note that this person was intentionally instigating similar situations with those she interpreted to be American.  When I arrived at my seat, there was a French patron who brought his ""checked"" carry on onboard and placed in the bin I've my seat but staff did not remove it from the overhead bin.  I understand a lot of other nationalities do not care for Americans and expected a certain level of attitude, but I'm honestly blown away by the extreme levels of rudeness and discrimination, especially by staff in a service-based industry.  

The in-flight experience was no better than any domestic US flight.  For an eight hour flight, it was incredibly cramped and the cabin temperature was uncomfortable.  The food was less than unimpressive.  And, as for the staff service on board, it was barely better than the gate service. 

Ultimately, I'm disgusted by this experience and am hoping beyond hope that my return flight with a different airline will be much improved.","2024-11-01"
"5","Air france for finacial masacists","Air france best scammers in the world.
they not only rip you off and flease you for all your flight they sell it to some body else.","2024-11-01"
"1","Customer Support - Avoidance Tactics","I am incredibly shocked at the level of avoidance tactics by Air France.  After a botched flight for a conference where my baggage arrival was delayed by 2 days, I was entitled to receive compensation in accordance with EU passenger rights.  Air France processed and accepted my claim agreeing to compensate financially as per EU law.  But... the money was never received.  After numerous attempts to contact customer support - complete silence.  Only a response that the case is ""closed"".  Numerous calls to customer support - their response is always the same - the payment will be done shortly.  Its been more than a year since the claim.  No information as to why they did not yet pay out despite written confirmation of their intent to wire compensation on the claim. I proceeded with legal action and their headquarters refuses to receive the notification letter as they need a recipient name in order to accept the letter. But they will not provide the name of any person in either customer support or the legal department.  They are doing anything they possibly can to avoid accountability.  I am amazed at the resilience.  They are playing a game of endurance hoping you will just lose interest or forget about the claim.  There is NOBODY accountable at Air France and they intentionally make it impossible to escalate - no senior manager to talk to - no replies to emails or claim tickets - no support at headquarters .  They violate passenger rights outright and use these tactics to avoid their liabilities.  The only thing left is litigation.  Too bad for the otherwise excellent work of their cabin crews and flight crews.  I am especially fond of KLM.  But in my own case, it is clear that they will not adhere to their responsibilities when things go wrong.  You are no longer a valued customer - just a liability they hope will disappear.  Keep this in mind next time you book Air France...","2024-11-01"
"1","Unprofessional attitude","The most terrible experience ever had! Very low quality of everything. On top of it the flight attendant let herself shouting, unprofessional attitude!","2024-10-31"
"1","Bad experience","First time I used airfrance from canada to French it's really bad experience with airfrance cheap quality this seats very tight and food no quality too I don't like it at all and will never fly with them again ever!!!!!!!","2024-10-30"
"3","Terrible customer service","I would not recommend traveling Air France if you are expecting a good customer service. The food constantly runs out and you get whatever they have left, in other words, yes you eat leftovers, and the worst part is that nobody on the crew cares. I was not able to eat at any point in the flight since I am allergic to some vegetables and all that they had left was vegetarian food. A woman in front of me had an issue as well and ñ 3 crew members try to solve her issue and apologized to her only because she spoke French. So, If you speak French it might be a different story, and your issue might get solve.","2024-09-09"
"1","Awful Business class experience never again","My partner and I visited Bangkok, departing from Manchester via Amsterdam with KLM. On the outbound journey, we booked premium economy with KLM. The service was so good that we decided it was likely to be similar with Air France, so we opted to upgrade to business class for the return leg.

Regrettably, our assumption that the service would match KLM’s standard couldn’t have been further from the truth. Contrary to what was stated on the Air France website, the 777 we flew on still had the old business class seats. The seats were not clean, and I had to use Dettol to wipe everything down myself. Additionally, the seats appeared worn and in poor condition. I find it extremely unfair that Air France has essentially created a lottery regarding which aircraft have been refitted and which haven’t, while still charging the same fare.

We decided to make the most of the situation and relax with a movie, but even that wasn’t possible. The entertainment system froze repeatedly, making it impossible to watch films or listen to audio.

After lunch, I didn’t see a flight attendant in the business class cabin for several hours. Unlike the KLM flight where constant refreshments were offered in premium economy, no such service was provided by Air France. When we did ask, the older male flight attendant seemed visibly frustrated by the request, which made us feel like a nuisance. Despite pressing the call bell, the flight attendants either didn’t come, walked straight past, or took 20 minutes to respond, only after being flagged down. We spent the entire flight thirsty. I later found the flight attendants sitting around, laughing in the mid-galley with the curtains drawn. Eventually, I was told I could help myself to a banana and an orange from the forward galley and pour my own water. From that point on, it felt like the business class cabin was practically abandoned, with passengers getting up and helping themselves.

When dinner was finally served, it was rushed due to turbulence. The meal was basic, accompanied by warm, flat Coke, and no alcohol was offered. The reason given was that the turbulence didn’t allow enough time to serve drinks, but I don’t buy into that. From my knowledge of aviation, pilots would have been warned about the turbulence through TAF reports and ride reports from other pilots.

In conclusion, it’s a real shame that KLM has partnered with Air France, as I will now avoid booking with either airline in the future. I refuse to pay for business class tickets when the service is better in economy.

Perhaps when Air France completes its cabin refresh and starts caring about its passengers again, I might reconsider. Until then, I’ll stick with Emirates.","2024-09-08"
"1","Nightmare! Never fly Air France!","I travelled with my daughter for the summer hols, from Jeddah to Washington via CDG. The flight from Jeddah was delayed 4 hours, causing us to miss connecting flight from CDG. We were told that we will be put up in a hotel for the night, and on the flight next morning. On reaching the hotel, they had no information about this. We had wait until late night, till this was resolved. I  was with my young daughter without spare clothes and medication. The next day, I realized that they only confirmed one ticket to Washington.  When we finally got on the flight, we were not given the seats we paid for. Furthermore, when we reached Washington, our baggage was delayed. We were in the same clothes for 2 days. The whole ordeal was a big loss and an absolute disaster. I was told at IAD airport that I would be reimbursed. But Air France has denied reimbursement and are now ignoring my claims and emails. There is no way to speak to anyone. They lied about reimbursement, and are taking no responsibility for the consequences, loss and damage caused. Never fly Air France !!!!","2024-09-08"
"5","pro con advice my ""visit"" from CDG to IAD on AF","PROS
*  Good professional international airline
*  The national carrier of France, providing international service
*  Very good competitive price for the itinerary
*  Excellent on line service
*  Excellent check- in staff at CDG
*  Excellent on- board in flight crew

CONS
Flying is not an enjoyable experience

""I VISITED THIS PLACE""...
... because it provided direct non stop flight for the destinations that I needed.  I enjoyed the flight but the disembarking and getting to the terminal and getting the luggage at IAD was long and exhaisting and tedious- none of this being the airline's fault nor resonsibility

WAS IT WORTH THE COST?
Yes- my fare was very competitive and good and reasonable 

WOULD ""I VISIT THIS PLACE"" AGAIN?
Yes of course, and I intend to do that

ADVICE
I recommend using this airline","2024-09-07"
"5","Great Great great","Great flight. Clean planes nice service. EARLY. Great flight Great experience love air France DEFINITELY flying again","2024-09-07"
"1","Shocking","Terrible service. Lost my luggage due to them being late again on their flights. Luggage delivered 2day later. When I checked in I asked if there was sufficient time for my connecting flight. I was assured it was. Well, a Ihr transit is NOT enough when the flight leaves late. No one on board cares that you have a connecting flight. The food was OK, but had to jeep asking for the heat to be turned off and ask for water. Shocking!","2024-09-06"
"1","The worst airline I have used","Absolute worst airline I have used. I had a flight from naples to paris and from paris to boston. Both flights delayed due to the airline overbooking by hours. (Every airfrance flight was delayed that day for the same reasons or so i was told by the airfrance representatives). Lost bagages and customer service that gives a different answer every time you call.  No contact outside US. I keep hearing more and more stories of people being dissatisfied. I have 0 intention to use Airfrance again.","2024-09-06"
"1","Delayed with no drink options","Flight was delayed 1hr 20 and they refused to serve alcohol. Apparently half 6 in the morning is too early. Flight attendant was rude and I felt embarrassed after her comment.","2024-09-05"
"5","Air France Contact Number","Great experience with Air France helpline +1-800-853-3120. The staff was friendly, the seats were comfortable, and the in-flight entertainment was top-notch. Customer service was excellent when I needed help with my booking +1(800) 853-3120. For any issues, you can contact them at their toll-free number +1(800) 853-3120. Highly recommended!","2024-09-05"
"1","Horror show","We booked on Delta.  Air France flew the second leg of the flight from Paris to Nairobi.  They were a horror show.  The plane experienced mechanical issues as it was taxiing out to the runway.  Instead of deplaning, Air France kept us on the plane on the tarmac for over 2 hours before deciding that the plane could not be used.  They scheduled a new flight four hours later.  We then deplaned with the promise of a free lunch on Air France and were told that the restaurant food services would be informed and we had to do nothing else.  Not so.  We had to wait in line for a voucher.  Some people found this out only after they had eaten their meals and could not be reimbursed.  We boarded the new flight and sat on the plane for almost 2 hours before being told that they could not take off because they would arrive in Nairobi too late to land.  We were given incorrect instructions as to where to go to find out about rebooking and accommodations.  We and the other exhausted passengers walked about the airport until some kind sole told us where to go.  Air France put us up in a residential building without a restaurant on premises or nearby.  We had to walk nearly a mile in the airport to reach the shuttle to the building.  They gave us a bagged dinner that consisted of a premade sandwich, a juice box and some non-descript pastry.  Welcome to France.  They rebooked us through Dubai (instead of a direct flight) on an African airline two days later, claiming that this was the earliest that we would be able to reach Nairobi.  And, because our flight originated in the US, they refused to pay us any compensation for either of the two cancelled flights.","2024-09-04"
"1","Avoid Air France and KLM at All Costs","My journey began on June 28th, a seemingly ordinary day until my baggage vanished into the labyrinth of airline logistics. My flight from Marrakech, Morocco, to New York marked the start of a frustrating ordeal that would test my patience and resilience.

Upon arrival, I discovered my luggage was nowhere to be found. I immediately filed a claim at JFK Terminal 1, obtaining a claim number and a phone number to call. Despite repeated attempts, I was unable to reach anyone by phone. Frustrated, I even took  cabs to the airport multiple times in hopes of getting answers, but there was no trace of my baggage.

Despite repeated attempts to contact Air France and KLM customer service, I received little to no assistance. The initial shock soon turned into a mounting sense of frustration as days turned into weeks with no sign of my belongings.

As time passed, my anxiety grew. My suitcase contained essential items, including toiletries, clothing, and valuable electronics. Without my belongings, I felt stranded and unable to fully enjoy my trip.

After a staggering 56 days of waiting, I finally retrieved my baggage upon my return to Marrakech on August 22nd. However, upon inspection, I was appalled to discover that the suitcase had been significantly damaged. The contents were scattered. I was dismayed to discover that the airline had gone through the contents of my suitcase without my consent. They had merely needed to match the bag tag, a task that could have been easily accomplished without violating my privacy.

The airline's violation of its own policy regarding lost baggage (after 45 days), coupled with their lack of urgency and evasive tactics, have left me feeling frustrated and disrespected. I believe their primary concern was to avoid responsibility rather than resolve my issue. Their handling of delayed baggage claims is unacceptable, and I have no confidence in their ability to provide adequate customer service.","2024-09-04"
"1","Horrible flight","My sister was very uncomfortable in your flight and the staff wasn’t very nice ! they don’t even serve water to the fellow passengers and the flight was very disturbing! ill never let anyone fly with Air France ever again ! DISGUSTING!","2024-09-02"
"2","Disappointed and hurt","Two days ago, my daughter traveled back to Senegal on Air France from LAX. The LA staff was wonderful, but in Paris she encountered a rude flight attendant which this irritated me when I found out that she was rude to my daughter because my daughter is one of the sweetest little girls in the world, and traveling by herself we are trusting these people to be professional with our children, and paying an extra fee for their services for them to take care of my daughter while this flight attendant, I wish I knew her name my daughter says she doesn’t recall the ladies name because she was in shock while this lady was screaming at her for asking a simple question, she simply asked if the WiFi and the games were free. I don’t think anyone deserves to get yelled at for a simple question especially a child. Never expected that kind of behavior from an Air France employee, disappointed, and hurt because I trusted them with my child.","2024-09-01"
"1","Poor aircraft cleanliness, broken facilities and lack of customer engagement.","Find an alternative carrier. Returning to Abu Dhabi from a vacation in Europe and decided to use Air France as their schedule best suited our plans, NEVER AGAIN. 
As this is approximately a 7 hour flight we paid an additional premium for extra leg room seats (16A-16B), however, on boarding we found 16B was both damp and dirty with food waste still evident on and around the seat. This was pointed out to the cabin crew who provided some wet wipes for me to clean the seat myself, stating they would come and look once they had time (which never happened). I sat on the night blanket for the duration of the flight as a barrier to avoid sitting in the damp portion of the seat!!!
The whole row area 16A -16C had clearly not been cleaned to any standard (as can be seen by provided photos).
When the meal service arrived we found the in built table was also broken (photo provided) on seat 16A and would not support the tray of food or drink, which necessitated a balancing act to eat!! Again this was pointed out to the crew at the time. 
The whole aircraft appeared worn and dirty and the two toilets which we used were a test of our smell tolerances, as they had an overpowering smell of urine.
We raised an official complaint to AF requesting a refund of only the additional charges that had been levied for these seats due to their condition. This was dismissed by what appeared to be an auto generated response (AI)..! 
We are frequent flyers taking on average 15 flights a year using many different airlines, however, the standard onboard AF was well below what we would expect on other airlines especially Middle Eastern airlines. 
We will avoid AF in the future.","2024-09-01"
"1","Does any Air France flight arrive on time?","3 flights in 3 days. Rome -Paris, Paris-London. Total hours of delay: 8. Plus a missed connection.
Quick question- do any Air France flights take off/arrive on time?","2024-08-31"
"1","Absolute Madness!!!","Me, my grandparents, aunt and uncle were all supposed to go on a cruise from Barcelona. We had a flight from Seattle to Paris and a connection flight from Paris to Barcelona. When we first got on the flight from Seattle to Paris they had us waiting at the terminal for over an hour, and due to the disorganized traffic and badly managed policies at SeaTac and Air France’s crew, we missed our connection flight from Paris to Barcelona by 5 minutes. Exhausted after running around the whole airport, which we  were told by one of the flight attendants that it was going to be a “short” walk. When we found the Air France service counter, and when we spoke to the people there, they treated us like absolute nothing- not understanding that the customers’ satisfaction needs to go first. I personally can’t believe that these people even HAD! the audacity to treat us this way and how they were showing their true colors was just so upsetting and nerve-racking to see. We also asked to speak to the manager MULTIPLE! times and that so called “manager” never ended up coming. They offered to get us tickets to Barcelona later in the day and unfortunately the cruise ship would have already left by the time we have arrived, and they acted so surprised and showed no remorse to us. We asked if they can find us a flight to the cruise’s first stop in Seville, and they said that we would have to pay €1357 PER PERSON!!! We told them that since it was their fault that we missed our connecting flight and that THEY! were the ones that had to pay for the “damages” and they basically gave us the “middle finger” and sent us on our way. We eventually were able to rebook 2 more flights one from Paris to Barcelona and the other one from Barcelona to Seville, and due to all of this mishap we lost 2 days of our cruise.

So, for your own sanity DO NOT!!!! and I repeat DO NOT!!!!! EVER!!!! fly with Air France.","2024-08-28"
"2","Feels like a budget airline","Air France feels more like a budget airline than a normal one. I recently flew from Paris to Toronto and it sucked. The plane was a bit old but was pretty dirty, there was crumbs on the floor, the food tray was dirty but the most disgusting thing was that, the cupholder was sticky and you could see all the juices and soda dried on to it, (could hear it as well). The seats were uncomfortable and the screen had a crack on it. The movie selection were pretty limited and the system itself was slow. The food was okay but the bread was rock hard. Overall Air France is a very subpar airline and would recommend KLM instead","2024-08-28"
"5","Great airline with impeccable service!","From start to finish an A Class service.  Check in in Frankfurt was a breeze, CDG is a mess of an airport, however great AF lounge.  Loved the service on the flight.  Attentive staff, excellent food and excellent selection of drinks.  Good selection of in flight movies.","2024-08-28"
"1","Worst Experience Ever! Not recommended to anyone.","I recently had a disappointing experience with Air France when my baggage was lost during a flight. Despite my efforts to work with their customer service team to resolve the issue, I was met with resistance and a lack of cooperation in obtaining a refund for the lost items. The airline staff need to have training again, about how to talk with customer. I believe Air France is hiring uneducated people to work in their company.  The airline's refusal to take responsibility for the mishandling of my baggage was frustrating and left me feeling undervalued as a customer. I urge Air France Airlines to improve their policies and procedures for handling lost baggage situations to better serve their passengers in the future.","2024-08-28"
"1","Air France, where lying is corporate policy","Screen was broken on a brand new A350 on a twelve-hour flight . Airline promised all sorts of compensation, didn't deliver. Customer service stopped responding to my email enquiries. A garbage airline, where lying seems to be the norm. Next flight I went with Iberia. Much better experience.

By failing to follow up on something that would have cost them £100 they lost revenue of £1,500. I know they don't care. As I said, garbage airline.","2024-08-28"
"1","Bad Airline","They cancel our flight 3 hours before departure due to fleet shortage which it doesn’t make sense and they did not do anything about it, we had to wait 48 hours no hotel was provided. Never again and it’s not the first time we have a problem with Airfrance","2024-07-17"
"1","Terrible airline!!","We got a cancellation notification few hours before our international travel while the car driver traveled 2 hours to pick us up from our location to the airport but we had to apologize and rebook 2 days later as the following day was also canceled. This had put the family under lot of stress due to the time sensitive plans we had in the destination and we had to rework these plans!!  Later we knew the reason was fleet shortage!!!!!
Also the meal was bad; only pasta offered as they mentioned they ran out of chicken although we were in one of the front rows!!  Overall the meals were very bad compared to other airlines.
It was also very warm inside the plane from US  and although I notified the attendant but nothing changed!!!","2024-07-17"
"1","Terrible customer service","Booked two seats with good legroom together with my wife. They last minute placed me between two strangers. When we tried to change it they would only offer use worse seats or make us pay an additional 580$ each to upgrade to economy plus. No other options and 3 days before we leave so we can’t make any more plans. 

We’ve had the displeasure of flying with Air France twice in two years and they pulled the same thing on us both times. 

If you book specific seats with this airline, there’s a good chance you won’t get them so watch out.","2024-07-16"
"1","Just like flying Spirit Airline","on July 17, my family and I were traveling to Paris for vacation. When we arrive at the Airport, Air France sold our seats. We were bumped to a later flight. Mind you we purchased our tickets 5 months in advance. We booked a car service to pick us up, we had to e-mail and call to reschedule. The agent at the counter did not care, did not show any empathy as if it was our fault that they overbooked. we asked for a manager, he was the rudest.  It was very inconvenient and very disappointing. When you spend more money to travel you expect to receive great customer service, it was not the case. They were horrible, just like flying Spirit Airline.","2024-07-15"
"1","Bags broken into during Air France layover","Our bag was broken into in Paris CDG airport on a long layover during an Air France flight. Thankfully we did not have anything of value to be stolen but it was the principle of it and the invasion of privacy. Our padlock has been damaged and the zip of the bag had been forced open then zipped back across causing permanent damage to the zipping mechanism. We have asked Air France to look into the security of bags in their care at CDG airport but we were met with a generic customer service response. Poor customer service. This experience has put me off using Air France in the future. Air France - please increase your bag security at airports!","2024-07-11"
"1","Worst airline I’ve ever taken","Worst airline. Third time taking this airline and all times first flight is delayed and my second flight is missed. This time after the first delay made me miss my flight they downgraded me and charged me cause my carry on was overweight. It wouldn’t be considered overweight if they hadn’t downgraded me. 
They then asked me to ask for a refund by contacting the airline. I called so many times and waited hours to no avail on top of submitting a refund claim. No response yet. I will proceed with chargeback via my bank if they don’t refund me in a timely manner.","2024-07-10"
"1","Worst Airline","Worst customer service. My flight was delayed due to Airfrance, i had to wait at the airport for 12hrs for my next flight to tokyo. over 30hrs of traveling time total.
they did not offer any form of compensation. i contacted the claims team and got constantly ignored.","2024-07-10"
